"id","version","dev","license"
"@babel/code-frame","7.0.0-beta.51","true","MIT"
"@babel/generator","7.0.0-beta.51","true","MIT"
"@babel/helper-function-name","7.0.0-beta.51","true","MIT"
"@babel/helper-get-function-arity","7.0.0-beta.51","true","MIT"
"@babel/helper-split-export-declaration","7.0.0-beta.51","true","MIT"
"@babel/highlight","7.0.0-beta.51","true","MIT"
"@babel/parser","7.0.0-beta.51","true","MIT"
"@babel/template","7.0.0-beta.51","true","MIT"
"@babel/traverse","7.0.0-beta.51","true","MIT"
"@babel/types","7.0.0-beta.51","true","MIT"
"@types/chai","4.1.6","true","MIT"
"@types/mocha","5.2.5","true","MIT"
"@types/node","10.11.6","true","MIT"
"@types/rc","0.0.1","true","MIT"
"@types/semver","5.5.0","true","MIT"
"align-text","0.1.4","true","MIT"
"amdefine","1.0.1","true","BSD-3-Clause OR MIT"
"ansi-regex","2.1.1","true","MIT"
"ansi-regex","3.0.0","true","MIT"
"ansi-styles","2.2.1","true","MIT"
"ansi-styles","3.2.1","true","MIT"
"append-transform","1.0.0","true","MIT"
"archy","1.0.0","true","MIT"
"argparse","1.0.10","true","MIT"
"arrify","1.0.1","true","MIT"
"assertion-error","1.1.0","true","MIT"
"async","1.5.2","true","MIT"
"babel-code-frame","6.26.0","true","MIT"
"balanced-match","1.0.0","true","MIT"
"brace-expansion","1.1.11","true","MIT"
"browser-stdout","1.3.1","true","ISC"
"buffer-from","1.1.1","true","MIT"
"builtin-modules","1.1.1","true","MIT"
"caching-transform","2.0.0","true","MIT"
"camelcase","1.2.1","true","MIT"
"camelcase","4.1.0","true","MIT"
"center-align","0.1.3","true","MIT"
"chai","4.2.0","true","MIT"
"chalk","1.1.3","true","MIT"
"chalk","2.4.1","true","MIT"
"check-error","1.0.2","true","MIT"
"cliui","2.1.0","true","ISC"
"cliui","4.1.0","true","ISC"
"code-point-at","1.1.0","true","MIT"
"color-convert","1.9.3","true","MIT"
"color-name","1.1.3","true","MIT"
"commander","2.15.1","true","MIT"
"commondir","1.0.1","true","MIT"
"concat-map","0.0.1","true","MIT"
"convert-source-map","1.5.1","true","MIT"
"cross-spawn","4.0.2","true","MIT"
"cross-spawn","5.1.0","true","MIT"
"debug","3.1.0","true","MIT"
"debug-log","1.0.1","true","MIT"
"decamelize","1.2.0","true","MIT"
"deep-eql","3.0.1","true","MIT"
"deep-extend","0.6.0","false","MIT"
"default-require-extensions","2.0.0","true","MIT"
"diff","3.5.0","true","BSD-3-Clause"
"error-ex","1.3.2","true","MIT"
"es6-error","4.1.1","true","MIT"
"escape-string-regexp","1.0.5","true","MIT"
"esprima","4.0.1","true","BSD-2-Clause"
"esutils","2.0.2","true","BSD"
"execa","0.7.0","true","MIT"
"find-cache-dir","2.0.0","true","MIT"
"find-up","2.1.0","true","MIT"
"find-up","3.0.0","true","MIT"
"foreground-child","1.5.6","true","ISC"
"fs.realpath","1.0.0","true","ISC"
"get-caller-file","1.0.3","true","ISC"
"get-func-name","2.0.0","true","MIT"
"get-stream","3.0.0","true","MIT"
"glob","7.1.2","true","ISC"
"globals","11.8.0","true","MIT"
"graceful-fs","4.1.11","true","ISC"
"growl","1.10.5","true","MIT"
"handlebars","4.0.11","true","MIT"
"has-ansi","2.0.0","true","MIT"
"has-flag","3.0.0","true","MIT"
"he","1.1.1","true","MIT"
"hosted-git-info","2.7.1","true","ISC"
"imurmurhash","0.1.4","true","MIT"
"inflight","1.0.6","true","ISC"
"inherits","2.0.3","true","ISC"
"ini","1.3.5","false","ISC"
"invariant","2.2.4","true","MIT"
"invert-kv","1.0.0","true","MIT"
"is-arrayish","0.2.1","true","MIT"
"is-buffer","1.1.6","true","MIT"
"is-builtin-module","1.0.0","true","MIT"
"is-fullwidth-code-point","1.0.0","true","MIT"
"is-fullwidth-code-point","2.0.0","true","MIT"
"is-stream","1.1.0","true","MIT"
"isexe","2.0.0","true","ISC"
"istanbul-lib-coverage","2.0.1","true","BSD-3-Clause"
"istanbul-lib-hook","2.0.1","true","BSD-3-Clause"
"istanbul-lib-instrument","2.3.2","true","BSD-3-Clause"
"istanbul-lib-report","2.0.1","true","BSD-3-Clause"
"istanbul-lib-source-maps","2.0.1","true","BSD-3-Clause"
"istanbul-reports","2.0.0","true","BSD-3-Clause"
"js-tokens","3.0.2","true","MIT"
"js-yaml","3.12.0","true","MIT"
"jsesc","2.5.1","true","MIT"
"json-parse-better-errors","1.0.2","true","MIT"
"kind-of","3.2.2","true","MIT"
"lazy-cache","1.0.4","true","MIT"
"lcid","1.0.0","true","MIT"
"load-json-file","4.0.0","true","MIT"
"locate-path","2.0.0","true","MIT"
"locate-path","3.0.0","true","MIT"
"lodash","4.17.11","true","MIT"
"lodash.flattendeep","4.4.0","true","MIT"
"longest","1.0.1","true","MIT"
"loose-envify","1.4.0","true","MIT"
"lru-cache","4.1.3","true","ISC"
"make-dir","1.3.0","true","MIT"
"make-error","1.3.5","true","ISC"
"md5-hex","2.0.0","true","MIT"
"md5-o-matic","0.1.1","true","MIT"
"mem","1.1.0","true","MIT"
"merge-source-map","1.1.0","true","MIT"
"mimic-fn","1.2.0","true","MIT"
"minimatch","3.0.4","true","ISC"
"minimist","0.0.8","true","MIT"
"minimist","0.0.10","true","MIT"
"minimist","1.2.0","true","MIT"
"mkdirp","0.5.1","true","MIT"
"mocha","5.2.0","true","MIT"
"ms","2.0.0","true","MIT"
"normalize-package-data","2.4.0","true","BSD-2-Clause"
"npm-run-path","2.0.2","true","MIT"
"number-is-nan","1.0.1","true","MIT"
"nyc","13.0.1","true","ISC"
"once","1.4.0","true","ISC"
"optimist","0.6.1","true","MIT/X11"
"os-homedir","1.0.2","true","MIT"
"os-locale","2.1.0","true","MIT"
"p-finally","1.0.0","true","MIT"
"p-limit","1.3.0","true","MIT"
"p-limit","2.0.0","true","MIT"
"p-locate","2.0.0","true","MIT"
"p-locate","3.0.0","true","MIT"
"p-try","1.0.0","true","MIT"
"p-try","2.0.0","true","MIT"
"package-hash","2.0.0","true","ISC"
"parse-json","4.0.0","true","MIT"
"path-exists","3.0.0","true","MIT"
"path-is-absolute","1.0.1","true","MIT"
"path-key","2.0.1","true","MIT"
"path-parse","1.0.6","true","MIT"
"path-type","3.0.0","true","MIT"
"pathval","1.1.0","true","MIT"
"pify","3.0.0","true","MIT"
"pkg-dir","3.0.0","true","MIT"
"prettier","1.14.3","true","MIT"
"pseudomap","1.0.2","true","ISC"
"rc","1.2.8","false","(BSD-2-Clause OR MIT OR Apache-2.0)"
"read-pkg","3.0.0","true","MIT"
"read-pkg-up","4.0.0","true","MIT"
"release-zalgo","1.0.0","true","ISC"
"repeat-string","1.6.1","true","MIT"
"require-directory","2.1.1","true","MIT"
"require-main-filename","1.0.1","true","ISC"
"resolve","1.8.1","true","MIT"
"resolve-from","4.0.0","true","MIT"
"right-align","0.1.3","true","MIT"
"rimraf","2.6.2","true","ISC"
"semver","5.5.0","true","ISC"
"semver","5.6.0","false","ISC"
"set-blocking","2.0.0","true","ISC"
"shebang-command","1.2.0","true","MIT"
"shebang-regex","1.0.0","true","MIT"
"signal-exit","3.0.2","true","ISC"
"source-map","0.4.4","true","BSD-3-Clause"
"source-map","0.5.7","true","BSD-3-Clause"
"source-map","0.6.1","true","BSD-3-Clause"
"source-map-support","0.5.9","true","MIT"
"spawn-wrap","1.4.2","true","ISC"
"spdx-correct","3.0.0","true","Apache-2.0"
"spdx-exceptions","2.1.0","true","CC-BY-3.0"
"spdx-expression-parse","3.0.0","true","MIT"
"spdx-license-ids","3.0.0","true","CC0-1.0"
"sprintf-js","1.0.3","true","BSD-3-Clause"
"string-width","1.0.2","true","MIT"
"string-width","2.1.1","true","MIT"
"strip-ansi","3.0.1","true","MIT"
"strip-ansi","4.0.0","true","MIT"
"strip-bom","3.0.0","true","MIT"
"strip-eof","1.0.0","true","MIT"
"strip-json-comments","2.0.1","false","MIT"
"supports-color","2.0.0","true","MIT"
"supports-color","5.4.0","true","MIT"
"test-exclude","5.0.0","true","ISC"
"to-fast-properties","2.0.0","true","MIT"
"trim-right","1.0.1","true","MIT"
"ts-node","7.0.1","true","MIT"
"tslib","1.9.3","true","Apache-2.0"
"tslint","5.11.0","true","Apache-2.0"
"tsutils","2.29.0","true","MIT"
"type-detect","4.0.8","true","MIT"
"typescript","3.1.2","true","Apache-2.0"
"uglify-js","2.8.29","true","BSD-2-Clause"
"uglify-to-browserify","1.0.2","true","MIT"
"uuid","3.3.2","true","MIT"
"validate-npm-package-license","3.0.3","true","Apache-2.0"
"which","1.3.1","true","ISC"
"which-module","2.0.0","true","ISC"
"window-size","0.1.0","true","MIT"
"wordwrap","0.0.2","true","MIT/X11"
"wordwrap","0.0.3","true","MIT"
"wrap-ansi","2.1.0","true","MIT"
"wrappy","1.0.2","true","ISC"
"write-file-atomic","2.3.0","true","ISC"
"y18n","3.2.1","true","ISC"
"yallist","2.1.2","true","ISC"
"yargs","3.10.0","true","MIT"
"yargs","11.1.0","true","MIT"
"yargs-parser","9.0.2","true","ISC"
"yn","2.0.0","true","MIT"
